type,client,tx,amount
deposit,65,1525,552.201
deposit,237,1526,640.2203
deposit,431,1527,397.546
resolve,180,901,
deposit,331,1528,119.1216
dispute,423,839,
deposit,314,1529,377.1998
withdrawal,277,1530,501.6694
deposit,73,1531,961.5992
deposit,477,1532,57.8607
deposit,224,1533,623.1745
deposit,91,1534,997.1174
deposit,211,1535,796.3068
withdrawal,465,1536,290.9776
dispute,312,10,
deposit,348,1537,115.9501
deposit,103,1538,722.6647
deposit,246,1539,983.2131
withdrawal,109,1540,295.3753
withdrawal,39,1541,30.2193
deposit,387,1542,452.351
deposit,132,1543,593.0903
deposit,302,1544,454.4825
resolve,83,1332,
deposit,148,1545,909.0324
deposit,452,1546,263.9671
withdrawal,312,1547,57.7499
withdrawal,135,1548,912.0211
deposit,276,1549,133.6296
dispute,401,1320,
deposit,114,1550,560.0224
deposit,62,1551,703.6023
deposit,382,1552,838.8665
deposit,355,1553,923.6374
withdrawal,308,1554,271.8123
withdrawal,130,1555,583.8246
deposit,365,1556,247.9132
withdrawal,279,1557,293.8306
dispute,312,1257,
deposit,320,1558,781.9006
dispute,39,114,
deposit,174,1559,836.8242
withdrawal,285,1560,537.7935
deposit,249,1561,312.5316
withdrawal,483,1562,895.7171
chargeback,337,1059,
deposit,437,1563,979.3558
deposit,297,1564,132.3919
dispute,347,347,
deposit,491,1565,795.2864
deposit,39,1566,309.4157
withdrawal,283,1567,499.5653
withdrawal,441,1568,811.1908
deposit,306,1569,519.5004
dispute,288,310,
deposit,424,1570,122.1659
deposit,438,1571,130.5054
deposit,434,1572,374.5504
dispute,395,38,
deposit,107,1573,465.4444
dispute,176,949,
withdrawal,209,1574,779.2573
dispute,353,1285,
withdrawal,409,1575,39.2821
deposit,468,1576,199.4052
resolve,354,1199,
resolve,480,1189,
deposit,446,1577,871.5251
chargeback,58,1047,
chargeback,110,1504,
deposit,466,1578,951.6168
dispute,355,1518,
deposit,28,1579,683.2167
withdrawal,48,1580,235.3125
deposit,432,1581,890.5605
withdrawal,212,1582,173.3508
withdrawal,294,1583,800.6052
resolve,195,1305,
dispute,439,1184,
resolve,412,962,
deposit,7,1584,193.3388
withdrawal,482,1585,392.8536
chargeback,420,393,
withdrawal,132,1586,772.5663
chargeback,268,661,
deposit,310,1587,577.3833
withdrawal,350,1588,7.3266
withdrawal,153,1589,985.0652
deposit,14,1590,220.546
withdrawal,78,1591,153.3643
withdrawal,452,1592,95.6297
deposit,415,1593,168.4992
deposit,149,1594,190.2665
deposit,130,1595,51.239
deposit,31,1596,578.3994
chargeback,442,922,
deposit,134,1597,812.3342
withdrawal,148,1598,587.8036
deposit,280,1599,682.397
resolve,247,1086,
withdrawal,278,1600,916.7974
deposit,205,1601,975.6039
chargeback,322,1469,
deposit,167,1602,501.5358
deposit,371,1603,572.2388
deposit,473,1604,171.9252
deposit,242,1605,14.6216
deposit,427,1606,269.9435
resolve,349,946,
deposit,113,1607,63.1213
deposit,353,1608,545.0037
deposit,166,1609,914.6701
deposit,31,1610,456.172
deposit,221,1611,945.5367
deposit,464,1612,899.1241
dispute,80,638,
withdrawal,434,1613,54.9382
deposit,64,1614,673.4354
chargeback,214,1380,
withdrawal,213,1615,417.711
deposit,241,1616,937.0033
deposit,120,1617,51.2234
deposit,408,1618,657.3211
deposit,461,1619,587.1462
deposit,272,1620,293.7243
deposit,407,1621,253.2644
withdrawal,279,1622,702.4686
dispute,119,1055,
deposit,355,1623,76.4452
deposit,368,1624,627.4145
deposit,205,1625,813.3176
deposit,428,1626,810.381
dispute,2,295,
withdrawal,500,1627,374.2276
dispute,355,514,
deposit,124,1628,244.5102
withdrawal,440,1629,944.4789
withdrawal,374,1630,112.1465
resolve,480,896,
dispute,373,1147,
withdrawal,264,1631,482.9421
deposit,459,1632,787.5897
deposit,360,1633,372.3483
dispute,154,273,
deposit,300,1634,53.4996
resolve,204,1245,
resolve,4,435,
dispute,318,472,
resolve,480,1189,
deposit,227,1635,769.3024
withdrawal,28,1636,818.1031
dispute,13,515,
withdrawal,307,1637,204.1169
resolve,236,1108,
resolve,408,17,
deposit,131,1638,4.8257
deposit,361,1639,355.9763
deposit,72,1640,714.9339
withdrawal,168,1641,219.5004
deposit,131,1642,173.4145
deposit,127,1643,741.8206
withdrawal,77,1644,704.8216
resolve,142,548,
deposit,427,1645,697.2701
deposit,460,1646,9.9359
deposit,159,1647,878.1441
deposit,139,1648,928.0018
withdrawal,97,1649,833.5857
deposit,321,1650,490.1064
deposit,12,1651,580.2674
deposit,258,1652,775.6846
deposit,384,1653,672.7736
withdrawal,215,1654,324.0941
deposit,478,1655,158.6642
deposit,498,1656,954.4197
dispute,425,541,
withdrawal,144,1657,407.9183
withdrawal,276,1658,130.2005
dispute,137,1179,
chargeback,131,1642,
deposit,421,1659,441.0961
deposit,459,1660,804.9531
withdrawal,493,1661,47.7866
deposit,492,1662,621.3527
deposit,16,1663,743.2082
withdrawal,38,1664,847.6876
resolve,5,439,
withdrawal,99,1665,435.946
deposit,418,1666,695.0902
deposit,32,1667,315.0443
withdrawal,346,1668,843.0796
deposit,165,1669,842.9853
deposit,497,1670,5.4019
withdrawal,373,1671,254.6558
dispute,148,1545,
withdrawal,354,1672,483.3467
deposit,330,1673,155.2764
deposit,28,1674,855.536
withdrawal,43,1675,831.2426
dispute,357,1282,
withdrawal,99,1676,792.972
withdrawal,357,1677,526.6932
deposit,451,1678,97.8059
deposit,188,1679,537.8411
deposit,321,1680,600.4822
deposit,318,1681,898.1989
chargeback,139,1648,
deposit,415,1682,262.7787
resolve,311,1122,
withdrawal,462,1683,477.7315
resolve,219,833,
withdrawal,305,1684,734.8
dispute,497,61,
dispute,37,181,
deposit,464,1685,440.6835
withdrawal,121,1686,854.1079
deposit,122,1687,735.998
deposit,67,1688,441.0209
withdrawal,325,1689,237.5378
withdrawal,78,1690,839.726
deposit,158,1691,588.386
deposit,151,1692,907.2346
dispute,16,1142,
chargeback,62,1551,
withdrawal,152,1693,320.2049
dispute,17,513,
deposit,165,1694,952.6833
deposit,492,1695,118.1864
withdrawal,68,1696,892.8002
withdrawal,160,1697,732.7855
resolve,302,753,
dispute,82,354,
deposit,203,1698,889.1673
deposit,134,1699,202.9702
deposit,401,1700,170.2968
deposit,84,1701,762.1536
deposit,491,1702,35.6758
deposit,141,1703,216.4478
withdrawal,248,1704,670.5074
withdrawal,482,1705,675.1452
deposit,90,1706,56.7168
withdrawal,18,1707,340.7873
deposit,8,1708,855.2201
deposit,168,1709,325.9637
deposit,98,1710,509.1526
deposit,17,1711,9.6043
deposit,183,1712,479.8212
deposit,161,1713,250.7719
withdrawal,332,1714,175.7821
deposit,299,1715,894.6521
chargeback,95,1037,
dispute,449,303,
deposit,71,1716,202.2948
deposit,468,1717,609.7728
deposit,5,1718,535.9572
deposit,347,1719,51.5822
dispute,214,395,
deposit,292,1720,410.715
dispute,415,1682,
withdrawal,36,1721,497.6994
withdrawal,189,1722,314.2539
deposit,82,1723,248.0226
withdrawal,192,1724,760.6954
deposit,231,1725,521.7369
deposit,52,1726,273.5255
dispute,49,53,
withdrawal,115,1727,323.0702
withdrawal,271,1728,799.7222
chargeback,356,251,
dispute,5,609,
deposit,368,1729,507.5034
withdrawal,41,1730,848.236
withdrawal,130,1731,724.1406
resolve,234,510,
resolve,348,1366,
withdrawal,213,1732,350.6219
deposit,326,1733,354.9185
withdrawal,382,1734,462.247
resolve,410,807,
withdrawal,152,1735,605.9972
deposit,194,1736,316.3529
deposit,70,1737,251.5372
withdrawal,276,1738,186.3337
deposit,234,1739,182.0954
resolve,400,282,
deposit,301,1740,636.7489
deposit,19,1741,83.3934
withdrawal,477,1742,121.9073
deposit,3,1743,130.4826
deposit,162,1744,340.9295
deposit,35,1745,950.4137
withdrawal,93,1746,878.2824
deposit,464,1747,262.1309
deposit,452,1748,65.5916
deposit,103,1749,153.4679
withdrawal,245,1750,39.5856
deposit,272,1751,346.6105
withdrawal,75,1752,656.0536
withdrawal,200,1753,124.5632
deposit,454,1754,296.6614
dispute,274,165,
withdrawal,333,1755,235.7723
deposit,379,1756,64.7649
deposit,478,1757,467.8378
withdrawal,413,1758,859.8704
deposit,431,1759,894.9962
deposit,77,1760,118.8921
deposit,96,1761,324.2676
deposit,279,1762,540.7708
deposit,142,1763,31.8098
dispute,272,1751,
resolve,112,784,
deposit,246,1764,180.1428
deposit,79,1765,672.6643
chargeback,298,544,
deposit,260,1766,184.439
deposit,249,1767,303.092
withdrawal,51,1768,761.1701
chargeback,145,66,
resolve,234,1739,
resolve,328,326,
resolve,64,1410,
deposit,87,1769,759.9869
deposit,500,1770,921.6671
dispute,150,1033,
withdrawal,11,1771,710.1123
withdrawal,113,1772,641.2289
dispute,17,1711,
deposit,456,1773,197.2982
withdrawal,80,1774,83.9843
deposit,462,1775,244.6208
deposit,468,1776,545.8243
deposit,114,1777,326.5043
deposit,485,1778,752.4742
deposit,399,1779,483.2218
deposit,232,1780,948.6879
withdrawal,178,1781,259.2095
deposit,384,1782,474.1199
deposit,173,1783,378.6816
chargeback,97,149,
deposit,467,1784,767.3898
resolve,387,1107,
deposit,119,1785,960.4718
chargeback,149,358,
deposit,250,1786,882.9457
deposit,449,1787,797.6229
deposit,127,1788,463.4598
deposit,317,1789,662.131
withdrawal,10,1790,658.4367
deposit,180,1791,976.847
deposit,242,1792,106.5208
withdrawal,447,1793,121.9908
deposit,334,1794,741.5311
chargeback,4,435,
chargeback,149,1594,
deposit,117,1795,259.339
resolve,144,565,
deposit,431,1796,666.9949
deposit,379,1797,265.923
deposit,58,1798,342.3659
deposit,60,1799,186.022
withdrawal,115,1800,356.8178
resolve,155,1470,
deposit,409,1801,277.4666
deposit,204,1802,930.5157
chargeback,4,435,
deposit,57,1803,339.208
deposit,432,1804,14.6649
withdrawal,204,1805,757.7927
chargeback,500,1126,
withdrawal,8,1806,515.6016
deposit,211,1807,869.1602
deposit,108,1808,333.2479
dispute,189,44,
deposit,314,1809,629.8369
withdrawal,346,1810,934.8442
deposit,34,1811,530.0416
withdrawal,260,1812,55.2885
withdrawal,157,1813,180.0256
deposit,73,1814,645.4092
deposit,377,1815,7.0713
deposit,26,1816,451.7793
resolve,498,526,
resolve,375,41,
withdrawal,91,1817,337.547
withdrawal,107,1818,355.5566
withdrawal,32,1819,634.0902
deposit,318,1820,687.9108
withdrawal,296,1821,594.4125
deposit,162,1822,900.6079
deposit,196,1823,716.7821
withdrawal,343,1824,367.6337
deposit,238,1825,630.1001
deposit,45,1826,831.6232
deposit,230,1827,7.4094
resolve,363,257,
deposit,114,1828,250.4547
dispute,97,1289,
deposit,9,1829,741.7681
deposit,474,1830,904.1765
deposit,27,1831,577.3754
dispute,230,1434,
dispute,131,1430,
deposit,49,1832,682.5711
resolve,108,122,
deposit,136,1833,304.8322
chargeback,116,670,
deposit,148,1834,274.0416
chargeback,103,1538,
deposit,287,1835,749.0255
withdrawal,218,1836,319.7421
deposit,68,1837,12.671
deposit,170,1838,669.4699
deposit,112,1839,170.8702
withdrawal,289,1840,299.0249
deposit,206,1841,119.1229
deposit,388,1842,213.6561
deposit,308,1843,25.0876
deposit,308,1844,398.4054
deposit,464,1845,936.18
deposit,359,1846,46.7011
withdrawal,26,1847,369.0241
deposit,275,1848,958.1418
dispute,334,1794,
withdrawal,145,1849,622.406
dispute,195,1372,
deposit,327,1850,172.4089
deposit,117,1851,149.6098
deposit,120,1852,537.4918
withdrawal,80,1853,277.6803
deposit,76,1854,79.6287
dispute,478,312,
dispute,238,1825,
deposit,129,1855,306.8161
deposit,110,1856,976.8129
withdrawal,221,1857,718.3789
chargeback,480,1119,
deposit,31,1858,104.7494
deposit,252,1859,733.4138
dispute,371,1226,
dispute,292,1405,
withdrawal,61,1860,270.7473
deposit,410,1861,281.9045
withdrawal,295,1862,215.3481
withdrawal,462,1863,534.1092
deposit,209,1864,12.7075
withdrawal,167,1865,507.7412
resolve,188,346,
dispute,97,1289,
deposit,421,1866,172.7761
deposit,156,1867,683.6127
withdrawal,166,1868,600.7465
withdrawal,399,1869,57.9825
deposit,468,1870,976.9477
resolve,401,912,
deposit,313,1871,240.1714
deposit,220,1872,773.8621
withdrawal,6,1873,770.5136
deposit,402,1874,526.0304
deposit,424,1875,511.1872
deposit,39,1876,984.1301
resolve,371,1226,
deposit,392,1877,260.4728
deposit,423,1878,906.9669
deposit,402,1879,45.7895
deposit,75,1880,927.8917
chargeback,166,1304,
chargeback,465,1437,
deposit,54,1881,86.9281
deposit,363,1882,619.546
deposit,295,1883,195.7674
dispute,43,735,
deposit,196,1884,130.1467
resolve,365,1556,
resolve,179,825,
deposit,486,1885,458.4955
deposit,364,1886,363.2443
dispute,355,1518,
deposit,249,1887,898.0505
deposit,280,1888,626.8448
deposit,97,1889,346.4882
withdrawal,450,1890,872.4253
withdrawal,452,1891,363.2859
withdrawal,477,1892,418.9674
withdrawal,324,1893,862.3341
deposit,40,1894,570.0685
dispute,451,1678,
withdrawal,32,1895,605.8373
withdrawal,256,1896,78.3333
resolve,358,939,
dispute,252,569,
withdrawal,137,1897,560.3445
deposit,446,1898,381.7595
deposit,311,1899,889.3714
withdrawal,275,1900,1.5758
deposit,57,1901,728.9801
withdrawal,327,1902,448.753
chargeback,2,392,
withdrawal,17,1903,319.0451
deposit,314,1904,7.1698
dispute,153,69,
dispute,345,343,
dispute,228,204,
chargeback,75,1880,
deposit,312,1905,843.3234
dispute,492,1662,
deposit,360,1906,484.7802
resolve,312,654,
deposit,234,1907,91.4809
deposit,145,1908,792.8535
dispute,489,1204,
deposit,211,1909,971.1282
withdrawal,319,1910,925.948
dispute,126,304,
resolve,38,1038,
chargeback,401,1700,
deposit,350,1911,727.8932
withdrawal,471,1912,977.8075
resolve,438,1571,
withdrawal,51,1913,286.6371
deposit,391,1914,964.0553
withdrawal,480,1915,667.9745
deposit,429,1916,769.4266
chargeback,16,1142,
deposit,70,1917,586.0074
withdrawal,399,1918,643.3507
chargeback,165,1694,
dispute,283,175,
deposit,14,1919,714.9834
resolve,370,391,
dispute,117,1795,
withdrawal,384,1920,45.3358
deposit,313,1921,628.4177
deposit,453,1922,1.138
withdrawal,6,1923,62.6744
deposit,295,1924,827.3821
deposit,46,1925,736.3004
deposit,486,1926,321.8828
deposit,326,1927,692.002
resolve,75,557,
chargeback,64,1148,
resolve,302,753,
resolve,461,982,
deposit,361,1928,988.4682
withdrawal,169,1929,51.2747
withdrawal,308,1930,759.9919
deposit,91,1931,686.2899
withdrawal,41,1932,15.5907
withdrawal,465,1933,836.734
withdrawal,18,1934,626.7384
deposit,16,1935,31.5046
withdrawal,282,1936,844.2889
withdrawal,218,1937,220.892
deposit,484,1938,922.0516
deposit,46,1939,732.317
deposit,252,1940,871.2541
deposit,172,1941,492.8285
deposit,222,1942,111.8245
deposit,258,1943,494.577
withdrawal,95,1944,619.6489
withdrawal,324,1945,719.761
resolve,412,1344,
chargeback,180,1791,
withdrawal,328,1946,497.8677
dispute,17,1711,
deposit,288,1947,170.5494
deposit,21,1948,398.675
deposit,225,1949,395.4101
deposit,456,1950,285.5037
withdrawal,463,1951,792.3467
withdrawal,85,1952,164.7531
deposit,182,1953,79.7961
withdrawal,450,1954,925.6754
withdrawal,183,1955,244.3036
deposit,92,1956,358.3446
chargeback,39,1242,
dispute,283,175,
withdrawal,478,1957,286.8806
deposit,293,1958,867.3399
withdrawal,403,1959,278.941
deposit,403,1960,206.0864
deposit,388,1961,910.414
deposit,464,1962,580.1222
deposit,304,1963,878.352
deposit,178,1964,940.1881
deposit,388,1965,500.5541
deposit,158,1966,872.4489
deposit,427,1967,192.3689
deposit,97,1968,992.417
deposit,215,1969,749.8789
deposit,303,1970,174.1092
chargeback,37,389,
withdrawal,422,1971,877.6424
resolve,276,317,
dispute,107,192,
deposit,82,1972,142.0893
dispute,39,114,
deposit,12,1973,7.4969
deposit,107,1974,575.0784
dispute,347,347,
dispute,257,30,
withdrawal,68,1975,501.4408
withdrawal,9,1976,322.2914
resolve,12,507,
withdrawal,144,1977,375.1394
deposit,255,1978,485.962
deposit,466,1979,969.5418
withdrawal,440,1980,602.7523
dispute,258,1943,
dispute,207,574,
chargeback,401,1320,
dispute,342,274,
deposit,138,1981,891.0669
chargeback,23,281,
chargeback,307,988,
deposit,17,1982,98.6781
resolve,73,1531,
deposit,32,1983,856.2627
withdrawal,395,1984,363.4581
deposit,427,1985,902.3262
withdrawal,245,1986,970.3681
withdrawal,433,1987,105.7912
deposit,446,1988,172.0017
deposit,344,1989,713.7857
deposit,93,1990,747.659
withdrawal,96,1991,377.4512
deposit,489,1992,396.7877
deposit,26,1993,282.6078
withdrawal,151,1994,646.6018
deposit,67,1995,610.1039
deposit,456,1996,544.2863
withdrawal,261,1997,532.8705
deposit,21,1998,300.9494
deposit,497,1999,931.3289
dispute,186,1012,
resolve,303,22,
chargeback,272,1620,
withdrawal,391,2000,909.1319
resolve,25,97,
resolve,211,1807,
deposit,225,2001,377.5599
withdrawal,463,2002,526.0791
dispute,279,1762,
chargeback,214,395,
withdrawal,450,2003,172.2144
withdrawal,351,2004,177.3387
chargeback,454,1507,
deposit,57,2005,46.1188
withdrawal,465,2006,737.7925
withdrawal,475,2007,746.9867
dispute,97,1889,
deposit,300,2008,237.1912
chargeback,297,1564,
deposit,385,2009,597.9456
withdrawal,81,2010,928.1797
withdrawal,112,2011,549.8344
dispute,382,1272,
withdrawal,429,2012,885.6282
deposit,410,2013,923.999
chargeback,279,1158,
withdrawal,169,2014,506.475
deposit,197,2015,641.535
resolve,57,1803,
deposit,379,2016,260.1483
deposit,351,2017,739.0232
deposit,237,2018,301.5283
deposit,391,2019,488.1274
deposit,352,2020,630.4958
deposit,131,2021,159.0945
withdrawal,12,2022,321.8898
deposit,456,2023,301.5494
withdrawal,259,2024,287.8824
withdrawal,489,2025,890.7111
withdrawal,55,2026,300.4285
withdrawal,476,2027,741.4191
deposit,300,2028,53.8635
deposit,400,2029,342.7291
withdrawal,401,2030,676.7331
withdrawal,114,2031,787.9482
chargeback,324,580,
dispute,480,1119,
deposit,61,2032,415.7317
deposit,404,2033,446.2929
deposit,316,2034,88.8638
deposit,54,2035,553.0403
deposit,172,2036,494.0173
deposit,115,2037,562.1422
deposit,441,2038,688.5804
withdrawal,97,2039,671.7932
resolve,206,1841,
withdrawal,370,2040,802.6173
deposit,391,2041,1.755
resolve,58,1166,
withdrawal,234,2042,938.7895
deposit,79,2043,179.121
withdrawal,339,2044,367.7309
withdrawal,8,2045,44.8034
dispute,454,1507,
deposit,211,2046,213.1515
deposit,105,2047,183.387
withdrawal,360,2048,168.5973
deposit,319,2049,701.3252
deposit,174,2050,956.2153
deposit,58,2051,547.9099
deposit,394,2052,343.9598
dispute,35,523,
deposit,346,2053,508.7313
deposit,468,2054,814.371
deposit,322,2055,668.1897
withdrawal,294,2056,382.9137
withdrawal,426,2057,542.4366
withdrawal,264,2058,231.3412
deposit,288,2059,88.0082
dispute,426,1438,
chargeback,475,442,
withdrawal,155,2060,204.822
deposit,54,2061,173.5244
deposit,239,2062,775.6388
deposit,172,2063,837.7913
withdrawal,275,2064,374.8035
deposit,436,2065,699.593
dispute,297,1280,
deposit,309,2066,492.5356
resolve,393,244,
withdrawal,218,2067,174.8799
chargeback,156,248,
dispute,58,338,
dispute,189,63,
deposit,450,2068,521.9518
resolve,24,528,
deposit,33,2069,411.9688
deposit,213,2070,787.4932
deposit,461,2071,386.0805
withdrawal,395,2072,194.9346
deposit,129,2073,333.4125
deposit,79,2074,448.7764
deposit,154,2075,262.4545
deposit,458,2076,833.1685
resolve,400,105,
deposit,297,2077,419.2845
deposit,119,2078,508.3597
resolve,104,838,
withdrawal,109,2079,774.5027
deposit,120,2080,483.7211
deposit,323,2081,861.5118
dispute,234,1907,
deposit,465,2082,30.7774
chargeback,298,115,
deposit,498,2083,314.6205
deposit,374,2084,661.9135
resolve,335,1187,
deposit,74,2085,37.2609
deposit,14,2086,391.1889
deposit,109,2087,764.2339
deposit,316,2088,402.5226
resolve,375,1067,
withdrawal,112,2089,987.2927
dispute,118,234,
resolve,344,787,
deposit,3,2090,649.6094
deposit,152,2091,469.4506
deposit,256,2092,805.9497
deposit,168,2093,162.1322
deposit,453,2094,704.0551
resolve,190,168,
deposit,320,2095,423.3034
deposit,191,2096,412.7266
dispute,72,1303,
withdrawal,175,2097,156.0268
deposit,106,2098,5.8824
deposit,330,2099,275.8344
resolve,313,782,
resolve,54,2061,
deposit,473,2100,296.1773
deposit,279,2101,246.3355
dispute,478,84,
withdrawal,475,2102,153.2102
deposit,70,2103,39.125
deposit,54,2104,596.5351
withdrawal,255,2105,841.1429
withdrawal,361,2106,391.3024
withdrawal,103,2107,5.6749
chargeback,356,251,
deposit,336,2108,585.4489
dispute,144,565,
deposit,213,2109,221.1543
deposit,160,2110,425.2153
deposit,315,2111,827.6203
dispute,410,807,
deposit,396,2112,584.4594
dispute,439,992,
withdrawal,228,2113,770.985
dispute,164,113,
deposit,220,2114,103.2177
withdrawal,117,2115,531.7889
deposit,378,2116,181.2148
withdrawal,102,2117,9.2333
deposit,347,2118,227.159
deposit,276,2119,909.8499
deposit,58,2120,606.1279
deposit,405,2121,565.2742
deposit,78,2122,7.584
deposit,322,2123,880.7263
deposit,446,2124,693.914
deposit,14,2125,294.6969
withdrawal,174,2126,410.6054
deposit,238,2127,548.6971
dispute,59,4,
dispute,495,713,
deposit,363,2128,22.9546
deposit,269,2129,837.0379
withdrawal,63,2130,776.4453
deposit,31,2131,84.229
deposit,193,2132,725.6272
chargeback,70,1917,
deposit,233,2133,260.3714
deposit,469,2134,417.0552
deposit,439,2135,62.2242
deposit,78,2136,394.9222
dispute,69,1513,
deposit,96,2137,771.8312
deposit,412,2138,842.896
withdrawal,256,2139,4.0768
deposit,282,2140,270.5096
withdrawal,480,2141,776.2991
deposit,154,2142,541.541
withdrawal,482,2143,321.2543
resolve,380,31,
deposit,384,2144,377.6855
dispute,110,153,
withdrawal,303,2145,32.0131
deposit,64,2146,625.2671
deposit,60,2147,536.1198
dispute,439,2135,
deposit,317,2148,118.5137
withdrawal,284,2149,961.7619
withdrawal,13,2150,999.8351
dispute,143,579,
withdrawal,355,2151,242.2191
withdrawal,330,2152,637.0495
deposit,431,2153,887.4097
deposit,428,2154,66.2901
withdrawal,468,2155,191.9441
deposit,29,2156,776.7022
deposit,235,2157,190.9099
dispute,193,2132,
dispute,80,638,
deposit,69,2158,260.4627
withdrawal,267,2159,219.4042
resolve,120,2080,
withdrawal,190,2160,194.6941
deposit,417,2161,591.6165
deposit,260,2162,401.8185
deposit,274,2163,976.1371
deposit,233,2164,617.8077
chargeback,113,1331,
withdrawal,378,2165,174.1739
deposit,498,2166,265.0575
withdrawal,449,2167,731.2233
deposit,123,2168,822.686
deposit,438,2169,624.4056
deposit,117,2170,666.5704
dispute,500,1126,
withdrawal,279,2171,641.4658
deposit,323,2172,527.2631
withdrawal,178,2173,84.439
resolve,438,2169,
deposit,110,2174,216.5058
resolve,417,1202,
deposit,307,2175,723.4746
withdrawal,370,2176,371.9008
resolve,117,2170,
deposit,218,2177,991.2793
deposit,425,2178,605.4836
dispute,116,1516,
resolve,439,46,
chargeback,372,591,
resolve,473,2100,
deposit,298,2179,54.6466
deposit,32,2180,210.7624
chargeback,323,2172,
deposit,420,2181,143.9396
resolve,134,1597,
deposit,293,2182,208.6557
deposit,122,2183,74.5332
dispute,421,1659,
resolve,86,1283,
resolve,52,1408,
chargeback,85,781,
withdrawal,495,2184,246.644
chargeback,300,2008,
deposit,419,2185,846.8526
deposit,159,2186,331.403
withdrawal,249,2187,262.8727
deposit,494,2188,494.7126
deposit,486,2189,820.8841
resolve,351,2017,
dispute,402,948,
resolve,359,891,
dispute,304,1963,
dispute,224,172,
dispute,251,453,
resolve,475,442,
deposit,312,2190,806.5829
withdrawal,186,2191,594.9205
dispute,190,168,
resolve,49,517,
dispute,267,831,
deposit,15,2192,519.2705
chargeback,177,1243,
deposit,126,2193,622.3171
deposit,369,2194,633.8656
dispute,212,1360,
deposit,348,2195,521.3725
deposit,92,2196,574.5617
dispute,413,9,
deposit,480,2197,85.5318
withdrawal,315,2198,483.2658
deposit,417,2199,197.8431
withdrawal,106,2200,909.4897
deposit,37,2201,814.9789
resolve,402,1879,
deposit,140,2202,33.8344
deposit,3,2203,760.0063
deposit,10,2204,577.2117
withdrawal,64,2205,412.0688
deposit,24,2206,865.922
deposit,112,2207,623.3767
withdrawal,390,2208,238.6349
chargeback,348,2195,
deposit,490,2209,808.5761
deposit,283,2210,243.8343
dispute,50,986,
resolve,345,343,
deposit,22,2211,982.2841
resolve,262,559,
deposit,277,2212,970.486
deposit,312,2213,895.0383
deposit,420,2214,856.2318
deposit,44,2215,919.0166
withdrawal,203,2216,423.4659
deposit,306,2217,124.6297
deposit,115,2218,750.8046
dispute,489,355,
deposit,118,2219,282.2628
dispute,214,136,
withdrawal,326,2220,854.2981
deposit,464,2221,950.0149
deposit,258,2222,575.4284
resolve,73,1531,
deposit,337,2223,163.779
withdrawal,491,2224,45.4749
deposit,317,2225,874.343
withdrawal,451,2226,178.4679
deposit,456,2227,349.1624
withdrawal,446,2228,252.625
deposit,432,2229,325.318
deposit,128,2230,668.097
withdrawal,149,2231,824.5134
deposit,452,2232,639.7883
deposit,216,2233,424.9437
deposit,122,2234,918.7167
withdrawal,474,2235,551.8088
deposit,256,2236,638.8394
resolve,267,155,
resolve,25,907,
resolve,314,1079,
resolve,42,132,
resolve,493,414,
withdrawal,344,2237,716.3869
withdrawal,189,2238,971.5189
deposit,198,2239,75.4466
withdrawal,484,2240,315.6815
deposit,180,2241,313.3807
deposit,303,2242,754.0343
withdrawal,377,2243,86.9891
deposit,33,2244,957.1377
withdrawal,485,2245,926.1909
withdrawal,156,2246,138.9425
deposit,283,2247,336.4807
deposit,19,2248,180.1234
deposit,253,2249,147.511
withdrawal,477,2250,271.5014
withdrawal,5,2251,426.3051
resolve,16,1142,
withdrawal,199,2252,232.2122
resolve,265,1153,
deposit,31,2253,415.1868
resolve,247,979,
deposit,272,2254,806.3857
deposit,29,2255,767.2686
withdrawal,416,2256,774.7531
deposit,357,2257,890.4859
deposit,466,2258,636.7611
deposit,333,2259,572.2851
deposit,214,2260,774.3643
dispute,308,300,
chargeback,149,1594,
deposit,251,2261,95.3651
chargeback,76,1854,
deposit,10,2262,275.7219
withdrawal,227,2263,842.0999
deposit,488,2264,515.4371
deposit,73,2265,936.6764
deposit,411,2266,586.5883
withdrawal,453,2267,137.501
deposit,100,2268,294.6945
deposit,239,2269,795.5428
deposit,351,2270,615.944
resolve,119,1785,
withdrawal,440,2271,416.9381
resolve,429,1916,
deposit,451,2272,885.2048
dispute,415,1593,
resolve,44,1181,
chargeback,238,911,
withdrawal,128,2273,560.7374
deposit,234,2274,371.3726
deposit,351,2275,675.8104
dispute,463,1409,
deposit,175,2276,630.6267
deposit,222,2277,514.852
deposit,341,2278,762.2845
withdrawal,43,2279,875.6472
deposit,2,2280,919.8472
deposit,402,2281,605.7976
deposit,214,2282,645.3751
withdrawal,278,2283,41.3845
chargeback,67,1995,
deposit,186,2284,59.2422
deposit,32,2285,681.7388
chargeback,490,646,
withdrawal,252,2286,470.1981
resolve,305,449,
deposit,488,2287,905.427
deposit,176,2288,404.2205
dispute,83,125,
withdrawal,159,2289,735.3219
deposit,110,2290,3.4327
withdrawal,441,2291,888.6073
withdrawal,90,2292,890.2176
resolve,391,2019,
deposit,151,2293,121.0533
withdrawal,120,2294,562.0548
deposit,259,2295,681.2185
dispute,96,1045,
withdrawal,318,2296,762.9234
resolve,431,1796,
deposit,434,2297,773.0087
withdrawal,314,2298,815.8964
deposit,117,2299,380.4471
withdrawal,83,2300,97.6927
resolve,295,1924,
deposit,123,2301,263.7872
